URL,Title,Local Identifier,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Place
https://calisphere.org/item/ark:/86086/n2hm56m8,"Waiting for registration, Pittcon",pittcon_1960_b4-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2cv4fwj,"Waiting for registration, Pittcon",pittcon_1960_b4-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2833q5j,"Party scene, Pittcon",pittcon_1960_c1-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n24b2zft,"Party scene, Pittcon",pittcon_1960_c1-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n20k26qg,"Party scene, Pittcon",pittcon_1960_c1-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2vx0dpz,"Party scene, Pittcon",pittcon_1960_c1-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2r49nz0,"Party scene, Pittcon",pittcon_1960_c1-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2mc8x67,"Party scene, Pittcon",pittcon_1960_c1-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2gm85gw,"Party scene, Pittcon",pittcon_1960_c2-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2bv7dr5,"Party scene, Pittcon",pittcon_1960_c2-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2736p15,"Party scene, Pittcon",pittcon_1960_c2-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n23b5x9f,"Party scene, Pittcon",pittcon_1960_c2-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2zp4489,"Party scene, Pittcon",pittcon_1960_c2-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2tx3cjk,"At the bar, Pittcon",pittcon_1960_c2-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2q52msq,"Party scene, Pittcon",pittcon_1960_c3-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2kd1w2d,"Party scene, Pittcon",pittcon_1960_c3-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2fn14b2,"Party scene, Pittcon",pittcon_1960_c3-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n29w0cmb,"Party scene, Pittcon",pittcon_1960_c3-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2639mwc,"Party scene, Pittcon",pittcon_1960_c3-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n22f7kkc,"Party scene, Pittcon",pittcon_1960_c3-6-n,1960,"De Camp, L. Sprague (Lyon Sprague), 1907-2000",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2xp733g,"Party scene, Pittcon",pittcon_1960_c4-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2sx6bcr,"Party, Pittcon",pittcon_1960_d1-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2p55knb,"Hall party, Pittcon",pittcon_1960_d1-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2jd4txm,"Cutting into the cake, Pittcon",pittcon_1960_d1-3-n,1960,"Dinkleman, Ann",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2dn436p,"Party scene, Pittcon",pittcon_1960_d1-4-n,1960,"Dinkleman, Ann",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n28w3bgz,"Party scene, Pittcon",pittcon_1960_d1-5-n,1960,"Dinkleman, Ann",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2571958,"Party scene, Pittcon",pittcon_1960_d2-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n21g0jfj,"Party scene, Pittcon",pittcon_1960_d2-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2wq01z7,"Panel, Pittcon",pittcon_1960_d2-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2rx997c,"Panel audience, Pittcon",pittcon_1960_d2-4-n,1960,,,,,,Pittsburgh (Pa.)
